Uttar Pradesh,6966320000
Maharashtra,3917853920
Bihar,3629355879
West Bengal,3182279044
Madhya Pradesh,2532083802
Tamil Nadu,2515356637
Rajasthan,2389894164
Karnataka,2130045558
Gujarat,2107188340
Andhra Pradesh,1728471637
Odisha,1463402310
Telangana,1220379047
Kerala,1164679367
Jharkhand,1150108629
Assam,1087960969
Punjab,967252420
Chhattisgarh,890615779
Haryana,883861306
Uttarakhand,351651641
Himachal Pradesh,239329633
Tripura,128088592
Meghalaya,103438547
Manipur,89614882
Nagaland,68979113
Goa,50851169
Arunachal Pradesh,48242691
Mizoram,38253333
Sikkim,21287348
Central,41066845758
